Cov Type,n components 0,n components 1,error rate,actDCF,minDCF
full,32,1,12.250000000000005,0.6991487455197133,0.23527905785970304
full,32,2,11.750000000000005,0.6991487455197133,0.2382552483358935
full,32,4,8.150000000000002,0.5167050691244239,0.2028289810547875
full,32,8,5.600000000000005,0.33922171018945213,0.20666922683051717
full,32,16,5.949999999999999,0.3441820276497696,0.18369175627240142
full,32,32,5.549999999999999,0.3672875064004096,0.18524385560675885
diagonal,1,1,14.200000000000001,0.6842517921146953,0.25696044546851
diagonal,1,2,14.200000000000001,0.696300563236047,0.26051267281105994
diagonal,1,4,7.950000000000001,0.46297363031233996,0.20977342549923192
diagonal,1,8,7.899999999999996,0.4811187916026625,0.2035330261136713
diagonal,1,16,5.549999999999999,0.28365015360983103,0.14130504352278547
diagonal,1,32,5.400000000000005,0.2846422171018945,0.13124039938556067
diagonal,2,1,13.649999999999995,0.6602982590885816,0.24491167434715821
diagonal,2,2,13.749999999999996,0.6593061955965182,0.24887992831541217
diagonal,2,4,8.099999999999996,0.4659498207885304,0.19898873527905786
diagonal,2,8,8.05,0.482110855094726,0.20295698924731181
diagonal,2,16,5.400000000000005,0.2664970558115719,0.15364183307731694
diagonal,2,32,5.500000000000005,0.27953789042498717,0.14357718894009214
diagonal,4,1,12.1,0.6598822324628778,0.14512928827444954
diagonal,4,2,12.250000000000005,0.6598822324628778,0.15420186891961085
diagonal,4,4,6.75,0.41789874551971323,0.14810547875064006
diagonal,4,8,6.499999999999995,0.41591461853558626,0.14031298003072198
diagonal,4,16,4.949999999999999,0.32816500256016384,0.13620071684587812
diagonal,4,32,5.200000000000005,0.31101190476190477,0.14215309779825908
diagonal,8,1,12.5,0.6216077828981054,0.1740431387608807
diagonal,8,2,12.549999999999994,0.6306803635432667,0.1808435739887353
diagonal,8,4,6.699999999999995,0.38160842293906805,0.16724270353302612
diagonal,8,8,6.65,0.38968894009216587,0.15136968766001024
diagonal,8,16,4.949999999999999,0.3271729390681003,0.13946492575524833
diagonal,8,32,5.149999999999999,0.31810035842293904,0.14031298003072198
diagonal,16,1,12.4,0.6508096518177162,0.22180619559651815
diagonal,16,2,12.549999999999994,0.6588901689708143,0.22166218637992832
diagonal,16,4,6.8500000000000005,0.43604390681003585,0.20225294418842804
diagonal,16,8,6.699999999999995,0.4421402969790066,0.1982846902201741
diagonal,16,16,5.249999999999999,0.3765040962621608,0.15746607782898106
diagonal,16,32,5.049999999999999,0.3583589349718382,0.1624263952892985
diagonal,32,1,11.7,0.6537858422939067,0.21175755248335892
diagonal,32,2,11.650000000000006,0.6719310035842294,0.20991743471582183
diagonal,32,4,6.699999999999995,0.42697132616487454,0.18468381976446493
diagonal,32,8,6.550000000000001,0.43604390681003585,0.17759536610343063
diagonal,32,16,4.849999999999999,0.2948508704557091,0.18042754736303124
diagonal,32,32,4.849999999999999,0.2676331285202253,0.18170762928827444
tied,1,1,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,1,2,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,1,4,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,1,8,5.700000000000005,0.32093253968253965,0.15548195084485408
tied,1,16,5.500000000000005,0.31994047619047616,0.15775409626216078
tied,1,32,5.500000000000005,0.333973374295955,0.16639464925755248
tied,2,1,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,2,2,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,2,4,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,2,8,5.700000000000005,0.32093253968253965,0.15548195084485408
tied,2,16,5.500000000000005,0.31994047619047616,0.15775409626216078
tied,2,32,5.500000000000005,0.333973374295955,0.16639464925755248
tied,4,1,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,4,2,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,4,4,13.949999999999996,0.6641225038402456,0.2629128264208909
tied,4,8,5.700000000000005,0.32093253968253965,0.15548195084485408
tied,4,16,5.500000000000005,0.31994047619047616,0.15775409626216078
tied,4,32,5.500000000000005,0.333973374295955,0.16639464925755248
tied,8,1,10.350000000000003,0.5388184843830005,0.15589797747055814
tied,8,2,10.350000000000003,0.5388184843830005,0.15589797747055814
tied,8,4,10.350000000000003,0.5388184843830005,0.15589797747055814
tied,8,8,4.400000000000004,0.29286674347158215,0.16428251408090122
tied,8,16,4.449999999999998,0.2747215821812596,0.16428251408090122
tied,8,32,4.5000000000000036,0.2847862263184843,0.17092293906810038
tied,16,1,10.850000000000005,0.5468990015360983,0.15122567844342039
tied,16,2,10.850000000000005,0.5468990015360983,0.15122567844342039
tied,16,4,10.850000000000005,0.5468990015360983,0.15122567844342039
tied,16,8,4.749999999999998,0.2847862263184843,0.16653865847414234
tied,16,16,4.700000000000005,0.27670570916538656,0.16455453149001534
tied,16,32,4.5000000000000036,0.2867703533026113,0.16738671274961597
tied,32,1,11.099999999999998,0.5802131336405529,0.1639784946236559
tied,32,2,11.099999999999998,0.5802131336405529,0.1639784946236559
tied,32,4,11.099999999999998,0.5802131336405529,0.1639784946236559
tied,32,8,4.800000000000004,0.30293138760880695,0.17645929339477728
tied,32,16,5.049999999999999,0.2847862263184843,0.18226766513056838
tied,32,32,4.700000000000005,0.2847862263184843,0.18609190988223245
