λ,actDCF,minDCF,ERROR RATE (%)
0.0001,0.402,0.364,9.3
0.00031622776601683794,0.405,0.365,9.35
0.001,0.413,0.365,9.35
0.0031622776601683794,0.43,0.364,9.25
0.01,0.457,0.361,9.25
0.03162277660168379,0.581,0.362,9.2
0.1,0.852,0.364,9.25
0.31622776601683794,0.995,0.364,9.3
1.0,1.0,0.364,9.25
3.1622776601683795,1.0,0.364,9.25
10.0,1.0,0.363,9.5
31.622776601683793,1.0,0.362,9.6
100.0,1.0,0.362,12.85
