λ,actDCF,minDCF,ERROR RATE (%)
0.0001,0.277,0.26,6.05
0.00031622776601683794,0.266,0.261,6.05
0.001,0.277,0.259,5.95
0.0031622776601683794,0.287,0.251,5.95
0.01,0.346,0.248,5.8
0.03162277660168379,0.495,0.244,5.9
0.1,0.753,0.248,5.95
0.31622776601683794,0.963,0.264,6.05
1.0,1.0,0.287,6.4
3.1622776601683795,1.0,0.309,7.0
10.0,1.0,0.328,7.15
31.622776601683793,1.0,0.331,7.25
100.0,1.0,0.33,9.15
